timestamp,date_label,get_value,anomaly_score
5/5 03:00,5/5,1.53,0.38
5/5 04:00,5/5,2.07,0.46
5/5 05:00,5/5,3.13,0.62
5/5 06:00,5/5,4.66,0.86
5/5 07:00,5/5,6.1,1.08
5/5 08:00,5/5,7.51,1.29
5/5 09:00,5/5,8.75,1.48
5/5 10:00,5/5,10.37,1.73
5/5 11:00,5/5,11.38,1.88
5/5 12:00,5/5,10.77,1.79
5/5 13:00,5/5,10.24,1.71
5/5 14:00,5/5,10.8,1.79
5/5 15:00,5/5,9.58,1.61
5/5 16:00,5/5,7.77,1.33
5/5 17:00,5/5,5.65,1.01
5/5 18:00,5/5,4.52,0.84
5/5 19:00,5/5,3.28,0.65
5/5 20:00,5/5,2.16,0.48
5/5 21:00,5/5,1.44,0.37
5/5 22:00,5/5,1.15,0.32
5/5 23:00,5/5,1.02,0.3
5/6 00:00,5/6,1.0,0.3
5/6 01:00,5/6,1.01,0.3
5/6 02:00,5/6,1.14,0.32
5/6 03:00,5/6,1.43,0.36
5/6 04:00,5/6,1.98,0.43
5/6 05:00,5/6,2.95,0.57
5/6 06:00,5/6,4.46,0.77
5/6 07:00,5/6,5.42,0.91
5/6 08:00,5/6,6.58,1.06
5/6 09:00,5/6,8.45,1.32
5/6 10:00,5/6,10.23,1.56
5/6 11:00,5/6,10.48,1.6
5/6 12:00,5/6,9.49,1.46
5/6 13:00,5/6,10.48,1.6
5/6 14:00,5/6,9.79,1.5
5/6 15:00,5/6,8.66,1.35
5/6 16:00,5/6,6.76,1.09
5/6 17:00,5/6,5.64,0.93
5/6 18:00,5/6,4.25,0.74
5/6 19:00,5/6,2.96,0.57
5/6 20:00,5/6,2.01,0.44
5/6 21:00,5/6,1.44,0.36
5/6 22:00,5/6,1.13,0.32
5/6 23:00,5/6,1.01,0.3
5/7 00:00,5/7,1.0,0.3
5/7 01:00,5/7,1.01,0.3
5/7 02:00,5/7,1.11,0.31
5/7 03:00,5/7,1.35,0.34
5/7 04:00,5/7,1.85,0.41
5/7 05:00,5/7,2.74,0.52
5/7 06:00,5/7,3.7,0.64
5/7 07:00,5/7,4.72,0.77
5/7 08:00,5/7,5.97,0.92
5/7 09:00,5/7,7.33,1.09
5/7 10:00,5/7,8.59,1.25
5/7 11:00,5/7,8.06,1.18
5/7 12:00,5/7,8.68,1.26
5/7 13:00,5/7,9.04,1.31
5/7 14:00,5/7,8.19,1.2
5/7 15:00,5/7,6.79,1.02
5/7 16:00,5/7,5.64,0.88
5/7 17:00,5/7,4.79,0.77
5/7 18:00,5/7,3.86,0.66
5/7 19:00,5/7,2.62,0.5
5/7 20:00,5/7,1.84,0.41
5/7 21:00,5/7,1.38,0.35
5/7 22:00,5/7,1.11,0.31
5/7 23:00,5/7,1.01,0.3
5/8 00:00,5/8,1.0,0.3
5/8 01:00,5/8,1.01,0.3
5/8 02:00,5/8,1.13,0.32
5/8 03:00,5/8,1.43,0.36
5/8 04:00,5/8,2.14,0.47
5/8 05:00,5/8,3.08,0.61
5/8 06:00,5/8,4.15,0.77
5/8 07:00,5/8,5.55,0.98
5/8 08:00,5/8,7.61,1.29
5/8 09:00,5/8,8.92,1.49
5/8 10:00,5/8,9.72,1.61
5/8 11:00,5/8,9.94,1.64
5/8 12:00,5/8,11.37,1.86
5/8 13:00,5/8,11.24,1.84
5/8 14:00,5/8,10.22,1.68
5/8 15:00,5/8,8.52,1.43
5/8 16:00,5/8,7.37,1.26
5/8 17:00,5/8,5.82,1.02
5/8 18:00,5/8,4.4,0.81
5/8 19:00,5/8,2.9,0.58
5/8 20:00,5/8,2.11,0.47
5/8 21:00,5/8,1.48,0.37
5/8 22:00,5/8,1.13,0.32
5/8 23:00,5/8,1.01,0.3
5/9 00:00,5/9,1.0,0.3
5/9 01:00,5/9,1.03,0.31
5/9 02:00,5/9,1.24,0.42
5/9 03:00,5/9,1.84,0.72
5/9 04:00,5/9,3.18,1.39
5/9 05:00,5/9,4.97,2.29
5/9 06:00,5/9,7.15,3.38
5/9 07:00,5/9,9.62,4.61
5/9 08:00,5/9,14.21,6.9
5/9 09:00,5/9,15.19,7.39
5/9 10:00,5/9,17.67,8.63
5/9 11:00,5/9,18.8,9.2
5/9 12:00,5/9,21.4,10.5
5/9 13:00,5/9,20.62,10.11
5/9 14:00,5/9,16.78,8.19
5/9 15:00,5/9,16.14,7.87
5/9 16:00,5/9,13.74,6.67
5/9 17:00,5/9,10.44,5.02
5/9 18:00,5/9,6.91,3.25
5/9 19:00,5/9,4.63,2.12
5/9 20:00,5/9,3.15,1.38
5/9 21:00,5/9,1.88,0.74
5/9 22:00,5/9,1.23,0.41
5/9 23:00,5/9,1.03,0.31
5/10 00:00,5/10,1.0,0.3
5/10 01:00,5/10,1.02,0.31
5/10 02:00,5/10,1.2,0.38
5/10 03:00,5/10,1.76,0.6
5/10 04:00,5/10,2.7,0.98
5/10 05:00,5/10,4.01,1.5
5/10 06:00,5/10,5.87,2.25
5/10 07:00,5/10,8.78,3.41
5/10 08:00,5/10,10.88,4.25
5/10 09:00,5/10,12.67,4.97
5/10 10:00,5/10,13.79,5.42
5/10 11:00,5/10,16.42,6.47
5/10 12:00,5/10,17.15,6.76
5/10 13:00,5/10,14.47,5.69
5/10 14:00,5/10,14.09,5.53
5/10 15:00,5/10,13.42,5.27
5/10 16:00,5/10,11.21,4.38
5/10 17:00,5/10,8.06,3.13
5/10 18:00,5/10,5.68,2.17
5/10 19:00,5/10,4.03,1.51
5/10 20:00,5/10,2.69,0.97
5/10 21:00,5/10,1.67,0.57
5/10 22:00,5/10,1.2,0.38
5/10 23:00,5/10,1.02,0.31
5/11 00:00,5/11,1.0,0.3
5/11 01:00,5/11,1.02,0.3
5/11 02:00,5/11,1.16,0.33
5/11 03:00,5/11,1.56,0.39
5/11 04:00,5/11,2.19,0.49
5/11 05:00,5/11,3.21,0.65
5/11 06:00,5/11,4.74,0.88
5/11 07:00,5/11,6.94,1.23
5/11 08:00,5/11,8.3,1.44
5/11 09:00,5/11,9.14,1.57
5/11 10:00,5/11,11.63,1.96
5/11 11:00,5/11,13.23,2.21
5/11 12:00,5/11,11.95,2.01
5/11 13:00,5/11,11.0,1.87
5/11 14:00,5/11,11.44,1.93
5/11 15:00,5/11,10.61,1.8
5/11 16:00,5/11,8.41,1.46
5/11 17:00,5/11,6.24,1.12
5/11 18:00,5/11,4.89,0.91
5/11 19:00,5/11,3.49,0.69
5/11 20:00,5/11,2.26,0.5
5/11 21:00,5/11,1.52,0.38
5/11 22:00,5/11,1.15,0.32
5/11 23:00,5/11,1.02,0.3
5/12 00:00,5/12,1.0,0.3
5/12 01:00,5/12,1.02,0.3
5/12 02:00,5/12,1.2,0.33
5/12 03:00,5/12,1.61,0.4
5/12 04:00,5/12,2.32,0.51
5/12 05:00,5/12,3.69,0.74
5/12 06:00,5/12,5.8,1.08
5/12 07:00,5/12,7.8,1.41
5/12 08:00,5/12,9.19,1.63
5/12 09:00,5/12,11.41,2.0
5/12 10:00,5/12,14.11,2.44
5/12 11:00,5/12,13.9,2.4
5/12 12:00,5/12,13.92,2.41
5/12 13:00,5/12,13.94,2.41
5/12 14:00,5/12,13.24,2.29
5/12 15:00,5/12,12.02,2.1
5/12 16:00,5/12,9.06,1.61
5/12 17:00,5/12,7.18,1.31
5/12 18:00,5/12,5.75,1.07
5/12 19:00,5/12,3.78,0.75
5/12 20:00,5/12,2.41,0.53
5/12 21:00,5/12,1.57,0.39
5/12 22:00,5/12,1.19,0.33
5/12 23:00,5/12,1.02,0.3
5/13 00:00,5/13,1.0,0.3
5/13 01:00,5/13,1.02,0.3
5/13 02:00,5/13,1.16,0.32
5/13 03:00,5/13,1.48,0.37
5/13 04:00,5/13,2.24,0.48
5/13 05:00,5/13,3.49,0.67
5/13 06:00,5/13,4.96,0.88
5/13 07:00,5/13,6.44,1.1
5/13 08:00,5/13,7.9,1.32
5/13 09:00,5/13,10.47,1.7
5/13 10:00,5/13,11.61,1.87
5/13 11:00,5/13,11.25,1.82
5/13 12:00,5/13,12.21,1.96
5/13 13:00,5/13,12.26,1.96
5/13 14:00,5/13,11.56,1.86
5/13 15:00,5/13,10.08,1.64
5/13 16:00,5/13,7.85,1.31
5/13 17:00,5/13,6.87,1.17
5/13 18:00,5/13,4.81,0.86
5/13 19:00,5/13,3.2,0.62
5/13 20:00,5/13,2.19,0.48
5/13 21:00,5/13,1.54,0.38
5/13 22:00,5/13,1.16,0.32
5/13 23:00,5/13,1.02,0.3
5/14 00:00,5/14,1.0,0.3
5/14 01:00,5/14,1.02,0.3
5/14 02:00,5/14,1.12,0.32
5/14 03:00,5/14,1.42,0.36
5/14 04:00,5/14,2.1,0.45
5/14 05:00,5/14,3.11,0.59
5/14 06:00,5/14,4.09,0.72
5/14 07:00,5/14,5.27,0.88
5/14 08:00,5/14,7.35,1.17
5/14 09:00,5/14,8.66,1.35
5/14 10:00,5/14,9.03,1.4
5/14 11:00,5/14,9.32,1.44
5/14 12:00,5/14,10.51,1.6
5/14 13:00,5/14,11.02,1.67
5/14 14:00,5/14,9.43,1.45
5/14 15:00,5/14,8.03,1.26
5/14 16:00,5/14,7.19,1.15
5/14 17:00,5/14,5.99,0.98
5/14 18:00,5/14,4.29,0.75
5/14 19:00,5/14,2.74,0.54
5/14 20:00,5/14,2.07,0.45
5/14 21:00,5/14,1.46,0.36
5/14 22:00,5/14,1.13,0.32
5/14 23:00,5/14,1.01,0.3
