日時,設備番号,電流値,設備温度,振動値,圧力,トルク
2026-08-24 11:00:00,EQ-R01,99.73,42.45,0.938,0.607,48.27
2026-08-24 08:00:00,EQ-R02,101.67,41.05,1.17,0.607,47.55
2026-08-24 08:05:00,EQ-R02,99.26,42.07,1.17,0.614,50.0
2026-08-24 08:10:00,EQ-R02,99.96,41.43,1.122,0.608,49.39
2026-08-24 08:15:00,EQ-R02,101.66,40.02,1.072,0.613,48.47
2026-08-24 08:20:00,EQ-R02,98.52,39.42,0.967,0.609,47.94
2026-08-24 08:25:00,EQ-R02,100.38,40.46,1.014,0.594,48.2
2026-08-24 08:30:00,EQ-R02,100.41,41.7,1.155,0.608,48.81
2026-08-24 08:35:00,EQ-R02,99.85,40.54,1.064,0.605,46.7
2026-08-24 08:40:00,EQ-R02,100.17,41.17,1.075,0.604,48.22
2026-08-24 08:45:00,EQ-R02,101.89,41.03,1.064,0.605,47.96
2026-08-24 08:50:00,EQ-R02,98.61,40.91,1.104,0.625,48.57
2026-08-24 08:55:00,EQ-R02,101.14,40.5,1.147,0.601,48.19
2026-08-24 09:00:00,EQ-R02,100.46,40.46,1.24,0.615,46.86
2026-08-24 09:05:00,EQ-R02,100.61,40.71,1.1,0.614,48.23
2026-08-24 09:10:00,EQ-R02,97.76,40.19,1.154,0.62,49.14
2026-08-24 09:15:00,EQ-R02,101.98,39.56,1.154,0.595,48.97
2026-08-24 09:20:00,EQ-R02,100.28,40.2,1.241,0.615,46.87
2026-08-24 09:25:00,EQ-R02,100.32,40.49,1.108,0.606,48.82
2026-08-24 09:30:00,EQ-R02,98.43,41.22,1.227,0.603,48.13
2026-08-24 09:35:00,EQ-R02,100.22,40.52,1.145,0.611,47.43
2026-08-24 09:40:00,EQ-R02,101.94,41.55,1.088,0.605,47.53
2026-08-24 09:45:00,EQ-R02,101.35,40.9,1.132,0.609,48.37
2026-08-24 09:50:00,EQ-R02,99.87,41.53,1.087,0.617,48.4
2026-08-24 09:55:00,EQ-R02,99.87,40.4,1.034,0.604,47.41
2026-08-24 10:00:00,EQ-R02,100.95,40.97,1.21,0.628,48.01
2026-08-24 10:05:00,EQ-R02,98.3,40.73,1.095,0.598,47.85
2026-08-24 10:10:00,EQ-R02,100.32,40.68,1.046,0.604,49.07
2026-08-24 10:15:00,EQ-R02,99.82,40.42,1.074,0.618,47.59
2026-08-24 10:20:00,EQ-R02,100.53,41.51,1.152,0.621,47.67
2026-08-24 10:25:00,EQ-R02,101.25,40.45,1.072,0.62,48.49
2026-08-24 10:30:00,EQ-R02,100.0,40.17,1.139,0.605,47.45
2026-08-24 10:35:00,EQ-R02,99.29,41.17,0.952,0.613,48.1
2026-08-24 10:40:00,EQ-R02,99.36,41.73,1.143,0.605,47.6
2026-08-24 10:45:00,EQ-R02,100.76,39.94,1.077,0.605,48.04
2026-08-24 10:50:00,EQ-R02,100.23,41.03,1.179,0.612,47.81
2026-08-24 10:55:00,EQ-R02,98.67,41.51,1.137,0.622,47.55
2026-08-24 11:00:00,EQ-R02,100.03,40.96,1.094,0.61,46.97
2026-08-24 08:00:00,EQ-R03,102.91,43.46,1.179,0.628,47.81
2026-08-24 08:05:00,EQ-R03,101.96,43.01,1.236,0.596,48.29
2026-08-24 08:10:00,EQ-R03,100.38,41.19,0.959,0.599,48.64
2026-08-24 08:15:00,EQ-R03,101.04,42.84,1.019,0.615,47.34
2026-08-24 08:20:00,EQ-R03,103.45,42.3,1.046,0.611,48.01
2026-08-24 08:25:00,EQ-R03,114.57,48.08,1.565,0.561,47.66
2026-08-24 08:30:00,EQ-R03,114.2,48.57,1.662,0.57,47.68
2026-08-24 08:35:00,EQ-R03,113.65,48.73,1.797,0.561,47.79
2026-08-24 08:40:00,EQ-R03,113.05,49.38,1.669,0.563,46.86
2026-08-24 08:45:00,EQ-R03,115.75,48.27,1.676,0.567,47.2
2026-08-24 08:50:00,EQ-R03,114.91,49.55,1.68,0.568,48.9
2026-08-24 08:55:00,EQ-R03,113.23,48.79,1.827,0.546,47.77
2026-08-24 09:00:00,EQ-R03,115.94,50.58,1.774,0.555,47.53
2026-08-24 09:05:00,EQ-R03,117.62,50.05,1.834,0.549,48.06
2026-08-24 09:10:00,EQ-R03,116.42,50.59,1.759,0.558,48.85
2026-08-24 09:15:00,EQ-R03,117.27,51.51,1.909,0.557,48.18
2026-08-24 09:20:00,EQ-R03,117.63,51.9,1.875,0.541,48.01
2026-08-24 09:25:00,EQ-R03,115.72,51.6,1.919,0.557,48.09
2026-08-24 09:30:00,EQ-R03,119.22,51.9,1.838,0.534,47.42
2026-08-24 09:35:00,EQ-R03,117.1,52.64,1.915,0.549,48.04
2026-08-24 09:40:00,EQ-R03,120.15,53.24,1.905,0.54,47.68
2026-08-24 09:45:00,EQ-R03,117.22,53.27,2.053,0.541,47.7
2026-08-24 09:50:00,EQ-R03,120.2,51.36,2.002,0.541,47.66
2026-08-24 09:55:00,EQ-R03,120.53,53.68,1.982,0.539,47.77
2026-08-24 10:00:00,EQ-R03,118.44,52.08,2.097,0.548,48.48
2026-08-24 10:05:00,EQ-R03,117.8,54.46,2.139,0.542,47.46
2026-08-24 10:10:00,EQ-R03,118.05,53.29,1.936,0.54,48.65
2026-08-24 10:15:00,EQ-R03,117.34,54.4,2.11,0.53,47.15
2026-08-24 10:20:00,EQ-R03,118.69,52.28,1.982,0.519,47.86
2026-08-24 10:25:00,EQ-R03,120.98,52.22,1.981,0.528,48.38
2026-08-24 10:30:00,EQ-R03,118.75,54.36,2.014,0.537,48.33
2026-08-24 10:35:00,EQ-R03,118.44,52.06,2.021,0.539,48.1
2026-08-24 10:40:00,EQ-R03,119.41,52.64,2.03,0.554,47.34
2026-08-24 10:45:00,EQ-R03,120.91,52.83,1.946,0.559,48.09
2026-08-24 10:50:00,EQ-R03,120.51,53.57,1.882,0.541,47.68
2026-08-24 10:55:00,EQ-R03,117.52,51.76,2.007,0.545,48.23
2026-08-24 11:00:00,EQ-R03,118.66,52.44,1.931,0.536,47.38
