eq_id,time,value
A-01,05/25 00:00,58.5
A-01,05/25 02:00,55.1
A-01,05/25 04:00,67.3
A-01,05/25 06:00,52.5
A-01,05/25 08:00,47.1
A-01,05/25 10:00,44.6
A-01,05/25 12:00,61.2
A-01,05/25 14:00,64.7
A-01,05/25 16:00,70.9
A-01,05/25 18:00,73.4
A-01,05/25 20:00,59.5
A-01,05/25 22:00,58.9
A-01,05/26 00:00,62.2
A-01,05/26 02:00,55.7
A-01,05/26 04:00,54.3
A-01,05/26 06:00,68.2
A-01,05/26 08:00,63.6
A-01,05/26 10:00,51.1
A-01,05/26 12:00,54.8
A-01,05/26 14:00,59.1
A-01,05/26 16:00,64.8
A-01,05/26 18:00,61.2
A-01,05/26 20:00,63.3
A-01,05/26 22:00,56.2
A-01,05/27 00:00,63.7
A-01,05/27 02:00,56.6
A-01,05/27 04:00,52.4
A-01,05/27 06:00,55.8
A-01,05/27 08:00,60.6
A-01,05/27 10:00,59.4
A-01,05/27 12:00,67.6
A-01,05/27 14:00,59.1
A-01,05/27 16:00,60.3
A-01,05/27 18:00,53.9
A-01,05/27 20:00,58.6
A-01,05/27 22:00,53.1
A-01,05/28 00:00,57.1
A-01,05/28 02:00,60.0
A-01,05/28 04:00,71.3
A-01,05/28 06:00,66.0
A-01,05/28 08:00,60.3
A-01,05/28 10:00,70.6
A-01,05/28 12:00,72.8
A-01,05/28 14:00,75.8
A-01,05/28 16:00,64.1
A-01,05/28 18:00,64.0
A-01,05/28 20:00,72.3
A-01,05/28 22:00,62.0
C-02,05/24 00:00,29.6
C-02,05/24 02:00,33.5
C-02,05/24 04:00,33.5
C-02,05/24 06:00,36.7
C-02,05/24 08:00,38.7
C-02,05/24 10:00,34.4
C-02,05/24 12:00,29.4
C-02,05/24 14:00,26.4
C-02,05/24 16:00,27.9
C-02,05/24 18:00,26.0
C-02,05/24 20:00,34.3
C-02,05/24 22:00,32.6
C-02,05/25 00:00,28.3
C-02,05/25 02:00,26.9
C-02,05/25 04:00,27.4
C-02,05/25 06:00,27.4
C-02,05/25 08:00,33.5
C-02,05/25 10:00,29.6
C-02,05/25 12:00,35.6
C-02,05/25 14:00,29.3
C-02,05/25 16:00,35.2
C-02,05/25 18:00,38.0
C-02,05/25 20:00,39.4
C-02,05/25 22:00,33.1
C-02,05/26 00:00,32.4
C-02,05/26 02:00,30.0
C-02,05/26 04:00,27.4
C-02,05/26 06:00,34.1
C-02,05/26 08:00,29.6
C-02,05/26 10:00,29.7
C-02,05/26 12:00,32.2
C-02,05/26 14:00,33.8
C-02,05/26 16:00,32.7
C-02,05/26 18:00,36.0
C-02,05/26 20:00,32.1
C-02,05/26 22:00,34.6
C-02,05/27 00:00,33.9
C-02,05/27 02:00,36.1
C-02,05/27 04:00,38.6
C-02,05/27 06:00,33.5
C-02,05/27 08:00,33.4
C-02,05/27 10:00,28.8
C-02,05/27 12:00,28.3
C-02,05/27 14:00,29.4
C-02,05/27 16:00,32.2
C-02,05/27 18:00,37.4
C-02,05/27 20:00,36.3
C-02,05/27 22:00,36.1
C-02,05/28 00:00,34.6
C-02,05/28 02:00,31.6
C-02,05/28 04:00,37.2
C-02,05/28 06:00,39.8
C-02,05/28 08:00,37.6
C-02,05/28 10:00,38.5
C-02,05/28 12:00,31.4
C-02,05/28 14:00,34.9
C-02,05/28 16:00,31.0
C-02,05/28 18:00,30.9
C-02,05/28 20:00,32.1
C-02,05/28 22:00,34.0
