series,x,y
blue,0.9391,0.1965
blue,0.944,0.266
blue,0.9481,0.5829
blue,0.9529,0.1608
blue,0.96,0.2033
blue,0.9668,0.2574
blue,0.97,0.122
blue,0.97,0.182
blue,0.97,0.1411
blue,0.97,0.3069
blue,0.97,0.1428
blue,0.97,0.2403
orange,0.04,0.6161
orange,0.04,0.5913
orange,0.04,0.5196
orange,0.04,0.5602
orange,0.04,0.5481
orange,0.04,0.5373
orange,0.04,0.6051
orange,0.04,0.532
orange,0.0446,0.5831
orange,0.049,0.5697
orange,0.0545,0.5591
orange,0.0585,0.501
orange,0.0648,0.4814
orange,0.0694,0.5245
orange,0.0749,0.5093
orange,0.0843,0.5724
orange,0.0861,0.4724
orange,0.0924,0.5221
orange,0.1041,0.5796
orange,0.1082,0.5726
orange,0.1119,0.58
orange,0.1195,0.5618
orange,0.1254,0.4967
orange,0.1248,0.5911
orange,0.1348,0.5783
orange,0.1424,0.5338
orange,0.1441,0.5178
orange,0.151,0.6057
orange,0.1532,0.8183
orange,0.1631,0.5948
orange,0.1692,0.5474
orange,0.171,0.5201
orange,0.1761,0.5285
orange,0.1831,0.5744
orange,0.1907,0.536
orange,0.1954,0.616
orange,0.2008,0.565
orange,0.2088,0.5939
orange,0.2109,0.497
orange,0.2155,0.5662
orange,0.2224,0.5935
orange,0.2264,0.5243
orange,0.234,0.5042
orange,0.2388,0.5853
orange,0.2423,0.6126
orange,0.2543,0.6014
orange,0.2566,0.4785
orange,0.2606,0.5938
orange,0.2674,0.5171
orange,0.274,0.4906
orange,0.278,0.5655
orange,0.2815,0.4756
orange,0.2937,0.5041
orange,0.2958,0.5855
orange,0.3051,0.5315
orange,0.3065,0.621
orange,0.3121,0.5892
orange,0.3174,0.4861
orange,0.3266,0.5117
orange,0.3257,0.5142
orange,0.3365,0.4893
orange,0.3439,0.4781
orange,0.348,0.5599
orange,0.3535,0.5765
orange,0.3538,0.5052
orange,0.3629,0.6089
orange,0.3701,0.6172
orange,0.3717,0.5482
orange,0.3772,0.5838
orange,0.3894,0.4862
orange,0.395,0.4725
orange,0.3956,0.6161
orange,0.3988,0.5261
orange,0.41,0.5532
orange,0.4124,0.5247
orange,0.4197,0.4849
orange,0.4218,0.6162
orange,0.4274,0.5163
orange,0.4395,0.5567
orange,0.4409,0.4757
orange,0.4501,0.6088
orange,0.4485,0.4812
orange,0.4566,0.5103
orange,0.4658,0.5322
orange,0.4705,0.4909
orange,0.4721,0.5092
orange,0.4828,0.4723
orange,0.4852,0.5304
orange,0.4884,0.5913
orange,0.4974,0.4729
orange,0.5051,0.629
orange,0.5079,0.6102
orange,0.5115,0.6105
orange,0.5229,0.4922
orange,0.5233,0.5696
orange,0.5287,0.4895
orange,0.5396,0.6276
orange,0.5408,0.5517
orange,0.5499,0.5064
orange,0.5549,0.6227
orange,0.5552,0.5128
orange,0.566,0.472
orange,0.5705,0.5201
orange,0.5788,0.5523
orange,0.5814,0.5434
orange,0.586,0.5017
orange,0.5959,0.593
orange,0.5995,0.4964
orange,0.6004,0.499
orange,0.607,0.537
orange,0.6184,0.6085
orange,0.6239,0.6245
orange,0.6291,0.5485
orange,0.6336,0.582
orange,0.6348,0.4963
orange,0.6387,0.5815
orange,0.6445,0.4919
orange,0.6574,0.6155
orange,0.6573,0.5444
orange,0.6658,0.6273
orange,0.6735,0.5712
orange,0.6794,0.4931
orange,0.6852,0.471
orange,0.6833,0.4868
orange,0.6924,0.4819
orange,0.7015,0.4821
orange,0.7054,0.5608
orange,0.7087,0.4966
orange,0.7165,0.5408
orange,0.7188,0.5743
orange,0.7246,0.502
orange,0.7297,0.5815
orange,0.7394,0.5559
orange,0.743,0.6141
orange,0.746,0.5341
orange,0.7504,0.6155
orange,0.7577,0.5334
orange,0.7691,0.5466
orange,0.7724,0.6041
orange,0.7738,0.8061
orange,0.7782,0.5681
orange,0.7858,0.8264
orange,0.7954,0.5919
orange,0.8008,0.4832
orange,0.8025,0.5483
orange,0.8123,0.56
orange,0.8159,0.5826
orange,0.8182,0.515
orange,0.8246,0.543
orange,0.8319,0.5164
orange,0.8341,0.4727
orange,0.8402,0.449
orange,0.8526,0.393
orange,0.8522,0.4875
orange,0.8635,0.3981
orange,0.8649,0.4438
orange,0.8729,0.3327
orange,0.8731,0.4417
orange,0.8831,0.2938
orange,0.8848,0.3925
orange,0.8939,0.364
orange,0.8969,0.394
orange,0.9076,0.3287
orange,0.909,0.3692
orange,0.9174,0.2475
orange,0.9225,0.2525
orange,0.9288,0.3012
orange,0.9359,0.1986
orange,0.9421,0.209
orange,0.9443,0.1501
orange,0.951,0.2789
orange,0.9569,0.1175
orange,0.958,0.153
orange,0.9699,0.1222
orange,0.9693,0.1874
orange,0.97,0.1054
orange,0.97,0.202
orange,0.97,0.2003
orange,0.97,0.1531
orange,0.97,0.0832
